"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis;MGS.923"	5.03498837928778	0.0898323560616343	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A massiliensis;MGS.1521"	3.12480201739012	0.101258616752185	"robust"	"CD-HC"
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;MGS.1506"	2.74743104445916	0.113939881403371	"robust"	"CD-HC"
"Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister invisus;MGS.5"	-0.632634344904944	0.0394550610115782	"non-sig"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes communis;MGS.403"	2.43512345234518	0.0718814715668011	"robust"	"CD-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemania;Holdemania filiformis;MGS.1470"	0.525229707081807	0.0356687527436497	"non-sig"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus;MGS.1516"	1.91341711795402	0.0716213755817534	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp001517625;MGS.772"	-0.470570053008211	0.0562008897575953	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Copromorpha;Copromorpha excrementipullorum;MGS.89"	6.90714172152372e-08	6.49298554309645e-08	"non-sig"	"CD-HC"
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Parasutterella;Parasutterella gallistercoris;MGS.1345"	0.434633247185811	0.0713473944906749	"non-sig"	"CD-HC"
"Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313;CAG-313 sp000433035;MGS.767"	0.488648259824167	0.0645324076819272	"robust"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella stercorea;MGS.469"	0.138410642263	0.0227742170820005	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp002404795;MGS.908"	3.01364813633657	0.103592039911954	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus;MGS.846"	3.61735755973858	0.111859440623494	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E;Ruminococcus_E bromii_B;MGS.989"	4.87091666070534	0.0950169281137689	"robust"	"CD-HC"
"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis;MGS.1006"	-0.320506519951906	0.0407306558571199	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;HGM13222;HGM13222 sp900757485;MGS.102"	5.3738880557583e-06	5.18742833434104e-06	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella atypica;MGS.959"	-1.43269846406694	0.0680645132743098	"variable"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Lawsonibacter;Lawsonibacter sp000177015;MGS.214"	-0.0164738187123092	0.00150212432533572	"non-sig"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA11471;UBA11471;UBA11471 sp000434215;MGS.337"	8.58752751294655e-16	4.4098665221655e-31	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladousia;Choladousia sp902363135;MGS.272"	1.24219901094004	0.0620242086156478	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA3402;UBA3402 sp003478355;MGS.101"	1.79595330948266	0.0524495042948288	"robust"	"CD-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium;Catenibacterium sp000437715;MGS.1381"	0.471528666640749	0.030457121051232	"variable"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Intestinibacter;Intestinibacter bartlettii;MGS.899"	-0.427775174337348	0.0627078721255217	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_D;MGS.992"	4.69055066983104	0.125640939572623	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;HGM13006;HGM13006 sp900756575;MGS.770"	7.74526992578497e-16	1.11561663319018e-16	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis;MGS.13"	0.639932362312882	0.0446730465759076	"non-sig"	"CD-HC"
"Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Coprobacillaceae;Faecalibacillus;Faecalibacillus intestinalis;MGS.947"	3.07513287991977	0.146940176571084	"robust"	"CD-HC"
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Morganella;Morganella morganii;MGS.375"	-4.79690757346231e-15	4.01812788036456e-15	"variable"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola;Choladocola sp003481535;MGS.835"	2.46723008795192	0.0698137257352957	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;Anaerostipes caccae;MGS.1329"	-0.726787400905971	0.0416747527550248	"variable"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp000433975;MGS.325"	3.56297048510988e-06	7.96622467210187e-06	"non-sig"	"CD-HC"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus lutetiensis;MGS.1442"	-1.18476104847208	0.415887805208732	"variable"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Avimicrobium;Avimicrobium caecorum;MGS.124"	0.639334357278565	0.0974972379783047	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Clostridium_A;Clostridium_A leptum;MGS.107"	1.80869624184842	0.11079850765281	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata;MGS.289"	-3.19993365235135	0.108856845913799	"robust"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis;MGS.286"	5.35453857674192	0.0671062072737363	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger sp900539695;MGS.884"	3.09668241541334	0.0733040470841769	"robust"	"CD-HC"
"Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;MGS.898"	0.60422911634188	0.101408493271854	"non-sig"	"CD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes finegoldii;MGS.875"	1.73446970656315	0.0757292519318487	"robust"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii;MGS.274"	-2.07224288022393	0.092824477852182	"variable"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium;Ruthenibacterium merdipullorum;MGS.431"	0.147841006983285	0.00445155364588562	"non-sig"	"CD-HC"
"Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Ventricola;Ventricola sp900542445;MGS.895"	2.63222633551086	0.0465276092867639	"robust"	"CD-HC"
