"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Morganella;Morganella morganii;MGS.375"	-4.7097345805125e-15	2.3880181353444e-15	"variable"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Choladocola;Choladocola sp003481535;MGS.835"	2.32173653629645	0.0551096281237236	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;Anaerostipes caccae;MGS.1329"	-2.5910687237598e-15	2.54789153609976e-29	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp000433975;MGS.325"	1.70166035824125e-09	4.0670196059238e-09	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus lutetiensis;MGS.1442"	-0.27113356840875	0.279964980347666	"variable"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Avimicrobium;Avimicrobium caecorum;MGS.124"	0.0355329969273555	0.0317260905346494	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Clostridium_A;Clostridium_A leptum;MGS.107"	1.80043323671141	0.0752610032877061	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata;MGS.289"	-1.67676825453652	0.0380475936044427	"robust"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis;MGS.286"	5.28321818076774	0.0694079737661595	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger sp900539695;MGS.884"	2.73279706563412	0.0261832330325007	"robust"	"IBD-HC"
"Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;MGS.898"	0.395348656891596	0.073142644949699	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes finegoldii;MGS.875"	1.99760484669659	0.0785427668006168	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii;MGS.274"	-1.86589963157558	0.0778034611765459	"variable"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium;Ruthenibacterium merdipullorum;MGS.431"	-0.0632555640236016	0.00280443413882137	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Ventricola;Ventricola sp900542445;MGS.895"	2.10986004371356	0.0466524431820421	"robust"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus thermophilus;MGS.962"	-0.827380839840536	0.0993036095584586	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Limivivens;Limivivens sp900543575;MGS.823"	7.18293943132874e-16	6.78259646842802e-29	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae;MGS.1471"	2.73766986202522	0.060876498070706	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Heritagella;Heritagella sp905200265;MGS.383"	1.00422011859154e-14	5.62441373430746e-15	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii;MGS.976"	2.75181699242915	0.0622239483383184	"robust"	"IBD-HC"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus delbrueckii;MGS.382"	2.8121389609855e-16	2.71135541662733e-15	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp000435995;MGS.94"	1.18805605229399e-09	2.5023317063809e-09	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron;MGS.1535"	0.883177965437264	0.064829696950941	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacter;Acutalibacter ornithocaccae;MGS.842"	7.8163653196011e-16	6.80456907226167e-17	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Oliverpabstia;Oliverpabstia intestinalis;MGS.432"	2.09186348693059	0.0700259494700691	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Clostridium_Q;Clostridium_Q fessum;MGS.378"	2.82758792745923	0.0605623181695512	"robust"	"IBD-HC"
